,Label,Weight
0,0,0.16129267285694626
1,1,0.12802869008394926
2,2,0.09312134189286553
3,3,0.0827106624462668
4,4,0.05371295344337675
5,5,0.04580375140657508
6,6,0.023913800221813854
7,7,0.04710711018643697
8,8,0.040201737272013406
9,9,0.03424352570693047
10,10,0.02980724861771111
11,11,0.03239777538513847
12,12,0.037481684166214675
13,13,0.015413634266192817
14,14,0.023387599472180172
15,15,0.02497429711722943
16,16,0.03331255514988626
17,18,0.013705505678920397
18,19,0.015340775700858922
19,20,0.012831202894913662
20,21,0.012847393687210084
21,22,0.010362107069709456
22,23,0.007625863171614303
23,24,0.013227877306175978
24,25,0.007148234798869882
